sex,agetext,address,studytime,freetime,failures,famsup,activities,higher,romantic,goout,alc text,absences text,G1 text,G2 text,G3 text,G1,G2,G3,age,absences,Dalc,Walc,ALC
M,18,U,3,2,0,no,no,yes,yes,2,little,none,Good,Very good,Very good,15,16,16,18,0,2,2,2
M,15,U,2,3,0,yes,yes,yes,no,3,none,none,Good,Good,Good,14,15,15,15,0,1,1,1
F,17,U,2,4,0,yes,no,yes,no,4,little,none,Good,Good,Good,14,15,15,17,0,1,3,2
F,17,U,3,2,0,no,yes,yes,yes,3,little,none,Good,Good,Very good,15,15,16,17,0,1,2,1.5
M,18,U,3,2,0,no,yes,yes,no,4,little,none,Good,Good,Good,14,15,15,18,0,1,3,2
M,18,R,3,4,0,yes,yes,yes,no,2,none,none,Good,Good,Good,14,15,15,18,0,1,1,1
M,17,U,1,4,0,yes,no,yes,no,3,little,none,Good,Good,Good,14,15,15,17,0,1,3,2
F,18,U,2,2,0,yes,no,yes,yes,4,none,none,Good,Good,Good,14,15,15,18,0,1,1,1
M,19-22,U,1,5,2,no,yes,yes,no,3,none,none,Good,Good,Good,14,15,15,20,0,1,1,1
F,17,R,3,4,0,yes,no,yes,yes,3,none,none,Good,Good,Good,15,15,15,17,0,1,1,1
F,16,U,2,2,0,no,no,yes,yes,2,none,none,Good,Good,Very good,14,15,16,16,0,1,1,1
F,17,U,2,2,0,yes,no,yes,no,5,none,none,Sufficient,Good,Very good,13,15,16,17,0,1,1,1
F,18,R,2,3,0,no,no,yes,yes,4,little,none,Very good,Good,Good,16,15,15,18,0,1,4,2.5
F,15,U,3,2,0,yes,yes,yes,yes,2,none,none,Good,Good,Good,14,14,14,15,0,1,1,1
M,15,U,3,5,0,yes,no,yes,yes,2,none,none,Good,Good,Good,14,14,15,15,0,1,1,1
M,15,R,2,5,0,yes,yes,yes,yes,2,none,none,Sufficient,Good,Good,13,14,15,15,0,1,1,1
M,15,U,3,4,0,yes,yes,yes,no,3,none,none,Good,Good,Good,14,14,14,15,0,1,1,1
F,15,U,2,3,0,yes,no,yes,no,3,none,none,Very good,Good,Very good,16,14,16,15,0,1,1,1
F,15,U,2,3,0,yes,yes,yes,no,2,none,none,Good,Good,Good,15,14,15,15,0,1,1,1
F,15,U,2,2,0,no,no,yes,no,3,little,none,Good,Good,Good,14,14,14,15,0,1,2,1.5
F,16,U,2,4,0,yes,yes,yes,no,5,none,none,Good,Good,Good,14,14,15,16,0,1,1,1
M,16,U,2,2,0,no,yes,yes,yes,3,little,none,Sufficient,Good,Very good,13,14,16,16,0,1,2,1.5
F,18,U,2,4,0,yes,no,yes,yes,5,little,none,Sufficient,Good,Good,13,14,14,18,0,1,2,1.5
F,17,U,3,3,0,no,no,yes,no,3,little,none,Good,Good,Good,14,14,15,17,0,2,3,2.5
F,18,U,3,5,0,no,yes,yes,no,5,little,none,Good,Good,Good,14,14,14,18,0,1,2,1.5
M,18,U,3,3,0,no,yes,yes,no,3,little,none,Sufficient,Good,Sufficient,13,14,13,18,0,2,2,2
F,17,R,2,3,0,yes,no,yes,no,3,little,none,Good,Good,Very good,14,14,16,17,0,2,3,2.5
F,15,R,1,5,0,no,no,yes,yes,1,lots,none,Sufficient,Good,Good,13,14,14,15,0,3,5,4
F,16,U,2,4,0,yes,no,yes,yes,3,little,none,Sufficient,Good,Good,13,14,15,16,0,2,1,1.5
F,15,R,2,2,0,yes,no,yes,no,1,little,none,Sufficient,Good,Good,13,14,14,15,0,1,2,1.5
F,16,R,1,3,0,yes,yes,yes,yes,2,none,none,Good,Good,Very good,14,14,16,16,0,1,1,1
F,16,U,4,2,0,yes,yes,yes,no,1,none,none,Good,Good,Good,14,14,14,16,0,1,1,1
F,16,R,1,4,0,no,yes,yes,no,5,little,none,Good,Good,Good,14,14,15,16,0,1,4,2.5
M,17,U,3,4,0,yes,no,yes,no,3,little,none,Good,Good,Very good,15,14,16,17,0,1,2,1.5
M,17,U,2,1,0,yes,no,yes,no,2,little,none,Sufficient,Good,Sufficient,13,14,13,17,0,2,2,2
F,17,U,2,2,0,no,no,yes,yes,3,little,none,Good,Good,Good,15,14,15,17,0,1,2,1.5
F,16,U,2,3,0,yes,no,yes,no,2,little,none,Sufficient,Sufficient,Sufficient,11,13,13,16,0,1,2,1.5
M,15,U,1,3,0,yes,yes,yes,no,3,little,none,Sufficient,Sufficient,Sufficient,12,13,12,15,0,1,3,2
M,15,U,2,4,0,no,no,yes,no,1,none,none,Sufficient,Sufficient,Good,12,13,14,15,0,1,1,1
M,16,U,2,5,0,no,yes,yes,no,1,little,none,Sufficient,Sufficient,Good,12,13,14,16,0,1,3,2
F,16,U,2,3,0,yes,no,yes,no,3,little,none,Good,Sufficient,Sufficient,14,13,13,16,0,2,3,2.5
M,15,U,2,3,0,yes,yes,yes,no,2,none,none,Good,Sufficient,Good,14,13,14,15,0,1,1,1
F,16,U,2,4,0,no,yes,yes,no,3,none,none,Sufficient,Sufficient,Sufficient,13,13,10,16,0,1,1,1
F,16,U,3,4,0,yes,yes,yes,no,4,lots,none,Good,Sufficient,Sufficient,14,13,13,16,0,2,4,3
M,16,U,1,3,0,no,yes,yes,no,2,little,none,Sufficient,Sufficient,Good,13,13,14,16,0,2,2,2
F,16,U,2,3,0,yes,no,yes,no,3,little,none,Sufficient,Sufficient,Sufficient,12,13,12,16,0,2,3,2.5
F,16,R,2,1,0,yes,no,yes,no,3,none,none,Good,Sufficient,Sufficient,14,13,13,16,0,1,1,1
M,16,U,3,3,0,yes,yes,yes,no,3,little,none,Good,Sufficient,Sufficient,15,13,13,16,0,1,3,2
F,17,U,1,2,0,yes,no,yes,yes,1,none,none,Sufficient,Sufficient,Sufficient,13,13,13,17,0,1,1,1
F,16,U,2,3,0,no,yes,yes,yes,5,none,none,Good,Sufficient,Sufficient,14,13,13,16,0,1,1,1
F,16,U,2,3,0,yes,no,yes,no,4,none,none,Sufficient,Sufficient,Sufficient,13,13,13,16,0,1,1,1
F,16,U,2,3,0,no,no,yes,no,1,none,none,Sufficient,Sufficient,Good,13,13,14,16,0,1,1,1
M,17,R,2,5,0,yes,yes,yes,no,2,none,none,Sufficient,Sufficient,Sufficient,12,13,13,17,0,1,1,1
M,17,U,2,5,0,yes,yes,yes,yes,5,little,none,Sufficient,Sufficient,Sufficient,13,13,13,17,0,1,3,2
M,16,U,2,2,0,yes,yes,yes,no,4,lots,none,Sufficient,Sufficient,Good,13,13,14,16,0,2,4,3
F,16,U,2,3,0,no,yes,yes,yes,3,little,none,Good,Sufficient,Sufficient,14,13,13,16,0,1,2,1.5
F,18,U,2,4,0,no,yes,yes,no,4,none,none,Sufficient,Sufficient,Sufficient,12,13,13,18,0,1,1,1
F,17,U,3,3,0,yes,no,yes,no,3,none,none,Sufficient,Sufficient,Good,13,13,14,17,0,1,1,1
M,17,U,1,1,0,no,no,yes,no,1,little,none,Sufficient,Sufficient,Sufficient,12,13,13,17,0,2,2,2
F,17,U,2,3,0,yes,no,yes,yes,2,little,none,Sufficient,Sufficient,Good,12,13,15,17,0,2,3,2.5
M,18,U,3,4,0,yes,no,yes,yes,5,little,none,Good,Sufficient,Good,14,13,14,18,0,2,3,2.5
M,15,R,2,3,0,yes,yes,yes,no,4,little,none,Sufficient,Sufficient,Good,12,13,14,15,0,1,2,1.5
F,15,U,3,3,0,yes,yes,yes,no,2,none,none,Sufficient,Sufficient,Good,12,13,14,15,0,1,1,1
F,16,U,1,5,0,no,yes,no,yes,4,none,none,Good,Sufficient,Sufficient,14,13,13,16,0,1,1,1
F,16,U,2,3,0,yes,yes,yes,no,3,none,none,Good,Sufficient,Good,14,13,14,16,0,1,1,1
F,19-22,U,3,4,0,no,no,yes,yes,5,none,none,Sufficient,Sufficient,Sufficient,12,13,13,19,0,1,1,1
M,16,U,2,1,0,yes,no,yes,yes,2,little,none,Sufficient,Sufficient,Sufficient,12,13,13,16,0,2,2,2
M,17,R,1,5,0,no,yes,no,yes,5,lots,none,Poor,Sufficient,Sufficient,8,13,10,17,0,3,5,4
F,16,R,2,4,0,no,yes,yes,yes,3,none,none,Sufficient,Sufficient,Sufficient,11,13,12,16,0,1,1,1
F,18,U,2,4,0,no,no,yes,no,3,little,none,Sufficient,Sufficient,Good,12,13,14,18,0,1,2,1.5
F,17,R,2,2,0,no,no,yes,no,2,little,none,Sufficient,Sufficient,Sufficient,13,13,13,17,0,1,2,1.5
M,16,U,2,4,0,no,no,yes,no,4,none,none,Sufficient,Sufficient,Sufficient,13,12,13,16,0,1,1,1
M,15,U,2,5,0,yes,yes,yes,no,1,none,none,Sufficient,Sufficient,Sufficient,12,12,13,15,0,1,1,1
F,15,U,3,2,0,yes,yes,yes,no,2,none,none,Sufficient,Sufficient,Sufficient,10,12,13,15,0,1,1,1
M,15,U,2,4,0,yes,no,yes,no,3,little,none,Sufficient,Sufficient,Sufficient,12,12,13,15,0,1,2,1.5
M,15,U,1,4,0,yes,no,yes,no,2,none,none,Sufficient,Sufficient,Sufficient,11,12,12,15,0,1,1,1
M,15,U,2,3,0,no,yes,yes,no,2,none,none,Sufficient,Sufficient,Sufficient,13,12,12,15,0,1,1,1
F,15,U,1,3,0,yes,no,yes,no,4,little,none,Sufficient,Sufficient,Sufficient,13,12,12,15,0,2,3,2.5
F,15,U,1,3,0,no,no,yes,no,4,lots,none,Sufficient,Sufficient,Sufficient,13,12,13,15,0,4,4,4
F,15,U,2,4,0,no,yes,yes,yes,4,lots,none,Sufficient,Sufficient,Sufficient,13,12,12,15,0,2,4,3
M,15,U,4,3,0,yes,yes,yes,yes,3,lots,none,Sufficient,Sufficient,Sufficient,11,12,12,15,0,5,5,5
F,16,U,2,3,0,yes,no,yes,yes,5,none,none,Sufficient,Sufficient,Sufficient,13,12,12,16,0,1,1,1
F,15,U,2,4,0,yes,no,yes,no,2,little,none,Sufficient,Sufficient,Sufficient,12,12,12,15,0,1,2,1.5
F,16,U,2,1,0,yes,no,yes,no,5,none,none,Sufficient,Sufficient,Sufficient,12,12,13,16,0,1,1,1
F,16,U,2,4,0,no,yes,yes,no,4,little,none,Sufficient,Sufficient,Good,13,12,14,16,0,1,4,2.5
M,16,U,2,2,0,no,yes,yes,yes,3,little,none,Sufficient,Sufficient,Sufficient,11,12,13,16,0,1,2,1.5
M,16,U,1,3,0,no,no,yes,no,3,none,none,Sufficient,Sufficient,Sufficient,13,12,12,16,0,1,1,1
F,17,R,3,4,0,yes,yes,yes,yes,2,none,none,Sufficient,Sufficient,Sufficient,11,12,12,17,0,1,1,1
F,17,U,3,3,0,yes,yes,yes,no,3,none,none,Sufficient,Sufficient,Sufficient,12,12,13,17,0,1,1,1
F,17,U,2,2,0,no,yes,yes,yes,3,little,none,Good,Sufficient,Sufficient,14,12,12,17,0,1,2,1.5
M,16,U,3,3,0,no,yes,yes,yes,3,little,none,Sufficient,Sufficient,Sufficient,12,12,12,16,0,1,3,2
M,17,R,2,3,0,yes,no,yes,no,3,little,none,Sufficient,Sufficient,Sufficient,12,12,12,17,0,2,3,2.5
M,16,U,1,3,0,no,no,yes,no,2,lots,none,Sufficient,Sufficient,Sufficient,11,12,11,16,0,2,4,3
M,17,R,1,4,0,no,no,yes,no,2,lots,none,Sufficient,Sufficient,Sufficient,12,12,13,17,0,2,4,3
F,18,U,3,3,0,yes,yes,yes,yes,3,none,none,Sufficient,Sufficient,Sufficient,11,12,13,18,0,1,1,1
M,17,U,2,3,0,no,no,yes,no,3,little,none,Sufficient,Sufficient,Sufficient,12,12,12,17,0,1,2,1.5
F,17,U,2,3,0,yes,no,yes,no,3,none,none,Sufficient,Sufficient,Sufficient,12,12,13,17,0,1,1,1
F,17,U,3,4,0,yes,yes,yes,no,4,little,none,Sufficient,Sufficient,Sufficient,13,12,13,17,0,1,3,2
M,18,U,2,3,0,yes,yes,yes,no,3,little,none,Sufficient,Sufficient,Sufficient,12,12,13,18,0,2,2,2
F,18,U,3,3,0,yes,no,yes,no,3,little,none,Sufficient,Sufficient,Good,11,12,14,18,0,1,2,1.5
F,17,U,3,4,0,yes,yes,yes,yes,3,little,none,Sufficient,Sufficient,Sufficient,11,12,13,17,0,1,3,2
F,19-22,U,3,3,2,no,yes,yes,no,2,none,none,Poor,Sufficient,Sufficient,9,12,12,21,0,1,1,1
F,16,R,2,4,0,yes,yes,yes,no,4,none,none,Sufficient,Sufficient,Sufficient,12,12,12,16,0,1,1,1
F,16,R,1,2,0,no,yes,yes,yes,2,lots,none,Sufficient,Sufficient,Good,13,12,14,16,0,4,3,3.5
M,16,U,2,3,0,yes,yes,yes,yes,1,none,none,Sufficient,Sufficient,Sufficient,13,12,13,16,0,1,1,1
M,16,U,1,1,0,yes,no,yes,no,2,lots,none,Sufficient,Sufficient,Sufficient,11,12,12,16,0,2,5,3.5
M,18,R,1,3,1,yes,no,yes,no,2,none,none,Sufficient,Sufficient,Sufficient,12,12,13,18,0,1,1,1
F,17,U,1,4,0,yes,no,yes,no,3,none,none,Sufficient,Sufficient,Sufficient,11,12,13,17,0,1,1,1
F,18,U,3,4,0,no,no,yes,yes,5,little,none,Sufficient,Sufficient,Sufficient,11,12,13,18,0,1,4,2.5
M,15,U,1,2,0,no,no,yes,no,4,lots,none,Sufficient,Sufficient,Sufficient,11,11,11,15,0,2,4,3
M,15,U,2,4,0,yes,no,yes,no,2,lots,none,Sufficient,Sufficient,Sufficient,10,11,11,15,0,3,4,3.5
M,15,U,2,3,0,yes,yes,yes,no,3,little,none,Sufficient,Sufficient,Sufficient,11,11,11,15,0,2,3,2.5
M,15,U,4,4,0,no,yes,yes,no,3,none,none,Sufficient,Sufficient,Sufficient,12,11,11,15,0,1,1,1
M,15,U,1,2,0,yes,yes,yes,yes,2,little,none,Sufficient,Sufficient,Sufficient,11,11,12,15,0,1,3,2
F,16,U,2,4,0,no,no,yes,yes,4,none,none,Sufficient,Sufficient,Sufficient,12,11,11,16,0,1,1,1
F,15,U,2,3,0,no,yes,yes,yes,2,none,none,Sufficient,Sufficient,Sufficient,10,11,11,15,0,1,1,1
F,15,R,3,2,0,yes,no,yes,yes,2,little,none,Sufficient,Sufficient,Sufficient,10,11,12,15,0,2,2,2
M,15,U,1,5,0,no,no,yes,no,5,lots,none,Sufficient,Sufficient,Sufficient,12,11,11,15,0,2,5,3.5
M,17,U,2,4,0,no,yes,yes,no,4,lots,none,Sufficient,Sufficient,Sufficient,10,11,11,17,0,4,4,4
F,17,U,2,3,0,no,yes,yes,no,3,none,none,Sufficient,Sufficient,Sufficient,12,11,12,17,0,1,1,1
M,17,U,2,3,0,yes,no,yes,no,3,little,none,Sufficient,Sufficient,Sufficient,10,11,11,17,0,1,3,2
M,17,U,2,4,0,no,yes,yes,yes,4,lots,none,Sufficient,Sufficient,Good,11,11,14,17,0,3,4,3.5
F,18,U,2,4,0,yes,no,yes,no,4,lots,none,Sufficient,Sufficient,Sufficient,12,11,13,18,0,3,3,3
F,17,R,3,3,0,yes,yes,yes,no,2,little,none,Sufficient,Sufficient,Sufficient,11,11,10,17,0,2,2,2
M,18,U,4,5,0,yes,yes,yes,no,5,lots,none,Sufficient,Sufficient,Sufficient,11,11,12,18,0,2,4,3
M,16,U,3,4,0,no,no,yes,no,3,none,none,Sufficient,Sufficient,Sufficient,10,11,11,16,0,1,1,1
F,16,R,1,2,0,yes,yes,yes,no,3,little,none,Sufficient,Sufficient,Sufficient,12,11,12,16,0,1,2,1.5
M,15,U,2,3,0,yes,yes,yes,no,3,none,none,Sufficient,Sufficient,Sufficient,11,11,11,15,0,1,1,1
M,16,R,2,3,0,no,no,yes,no,3,none,none,Sufficient,Sufficient,Sufficient,10,11,11,16,0,1,1,1
M,17,U,4,4,1,yes,yes,yes,no,5,lots,none,Sufficient,Sufficient,Sufficient,10,11,10,17,0,3,4,3.5
F,17,R,1,4,0,yes,yes,yes,yes,5,little,none,Sufficient,Sufficient,Sufficient,11,11,11,17,0,1,2,1.5
F,17,U,3,3,0,yes,no,yes,yes,3,none,none,Sufficient,Sufficient,Sufficient,11,11,10,17,0,1,1,1
M,16,R,1,1,0,no,no,yes,no,2,little,none,Sufficient,Sufficient,Sufficient,10,11,11,16,0,2,1,1.5
F,17,R,1,4,0,yes,no,yes,no,3,none,none,Sufficient,Sufficient,Sufficient,10,11,11,17,0,1,1,1
F,18,U,2,1,0,yes,no,no,no,1,none,none,Sufficient,Sufficient,Sufficient,11,11,12,18,0,1,1,1
M,15,U,1,4,0,yes,no,yes,no,1,none,none,Poor,Sufficient,Sufficient,9,10,10,15,0,1,1,1
F,16,U,1,5,0,yes,yes,yes,yes,5,lots,none,Sufficient,Sufficient,Very good,10,10,16,16,0,5,5,5
F,15,R,2,1,0,yes,no,yes,no,3,little,none,Sufficient,Sufficient,Sufficient,11,10,11,15,0,1,3,2
F,19-22,U,2,4,2,yes,no,no,no,2,none,none,Poor,Sufficient,Sufficient,9,10,11,19,0,1,1,1
M,16,U,2,4,2,no,no,yes,yes,4,little,none,Sufficient,Sufficient,Sufficient,10,10,10,16,0,1,3,2
F,15,U,1,4,0,yes,yes,no,yes,2,none,none,Sufficient,Sufficient,Sufficient,11,10,10,15,0,1,1,1
M,16,U,2,5,1,yes,no,yes,yes,5,lots,none,Sufficient,Sufficient,Poor,10,10,1,16,0,4,4,4
M,16,U,2,3,0,no,no,no,no,5,lots,none,Poor,Sufficient,Sufficient,9,10,11,16,0,2,4,3
M,16,R,1,3,0,yes,yes,yes,no,2,lots,none,Sufficient,Sufficient,Sufficient,11,10,10,16,0,3,4,3.5
F,16,U,2,5,0,yes,no,yes,no,2,little,none,Sufficient,Sufficient,Sufficient,11,10,11,16,0,1,2,1.5
F,17,R,2,2,0,yes,yes,yes,no,5,little,none,Sufficient,Sufficient,Sufficient,11,10,11,17,0,1,2,1.5
M,17,U,1,4,1,yes,yes,yes,no,4,little,none,Poor,Sufficient,Sufficient,9,10,10,17,0,1,2,1.5
F,19-22,U,2,3,0,yes,no,yes,no,3,none,none,Sufficient,Sufficient,Sufficient,10,10,11,19,0,1,1,1
M,17,R,1,2,0,no,no,no,no,2,none,none,Poor,Sufficient,Sufficient,9,10,10,17,0,1,1,1
M,18,U,1,2,0,no,yes,yes,no,3,little,none,Sufficient,Sufficient,Sufficient,10,10,10,18,0,1,2,1.5
M,19-22,R,3,3,1,no,yes,yes,yes,1,none,none,Poor,Sufficient,Sufficient,9,10,11,19,0,1,1,1
M,19-22,R,2,5,0,no,yes,yes,yes,3,little,none,Sufficient,Sufficient,Sufficient,10,10,11,19,0,1,2,1.5
M,19-22,R,1,3,0,yes,no,yes,yes,4,little,none,Sufficient,Sufficient,Sufficient,11,10,10,19,0,2,2,2
F,17,R,2,5,1,no,no,yes,yes,4,little,none,Sufficient,Sufficient,Sufficient,10,10,10,17,0,1,2,1.5
F,15,R,2,4,0,yes,no,yes,no,3,little,none,Sufficient,Sufficient,Sufficient,10,10,10,15,0,1,2,1.5
F,15,U,2,4,0,yes,no,yes,no,2,lots,none,Poor,Sufficient,Poor,9,10,9,15,0,3,3,3
F,16,R,4,3,0,yes,no,yes,no,2,none,none,Sufficient,Sufficient,Sufficient,13,10,13,16,0,1,1,1
F,15,R,1,2,0,yes,no,no,yes,1,little,none,Poor,Sufficient,Poor,9,10,9,15,0,1,3,2
F,17,R,2,3,0,yes,no,yes,no,5,little,none,Sufficient,Sufficient,Sufficient,11,10,11,17,0,1,2,1.5
F,16,R,2,3,0,yes,yes,yes,no,3,none,none,Poor,Sufficient,Sufficient,8,10,10,16,0,1,1,1
M,17,U,2,1,0,no,no,yes,yes,3,lots,none,Sufficient,Sufficient,Sufficient,10,10,10,17,0,3,3,3
M,16,R,1,5,0,no,yes,yes,no,5,lots,none,Sufficient,Sufficient,Poor,10,10,9,16,0,2,4,3
M,18,U,1,3,0,no,no,no,yes,3,little,none,Poor,Sufficient,Poor,9,10,9,18,0,2,3,2.5
F,17,U,1,2,0,yes,no,yes,yes,2,none,none,Poor,Sufficient,Poor,8,10,9,17,0,1,1,1
F,17,U,1,5,0,no,no,yes,no,1,none,none,Poor,Sufficient,Sufficient,7,10,10,17,0,1,1,1
F,18,U,2,3,0,yes,no,yes,yes,4,none,none,Sufficient,Sufficient,Sufficient,10,10,10,18,0,1,1,1
M,18,R,2,3,0,yes,no,yes,no,4,lots,none,Poor,Sufficient,Poor,8,10,9,18,0,2,4,3
F,18,U,1,2,0,yes,no,yes,yes,3,little,none,Sufficient,Sufficient,Sufficient,10,10,10,18,0,1,2,1.5
F,16,U,4,3,0,yes,no,yes,no,3,little,none,Sufficient,Poor,Sufficient,10,9,10,16,0,1,2,1.5
M,15,U,4,3,0,no,no,yes,no,3,none,none,Sufficient,Poor,Sufficient,11,9,10,15,0,1,1,1
M,17,U,1,5,3,yes,yes,no,no,1,none,none,Poor,Poor,Sufficient,9,9,10,17,0,1,1,1
M,18,U,1,3,2,no,no,no,yes,5,lots,none,Sufficient,Poor,Poor,11,9,0,18,0,2,5,3.5
M,17,U,2,4,0,yes,yes,yes,no,4,little,none,Sufficient,Poor,Sufficient,11,9,10,17,0,1,3,2
M,16,U,1,3,0,yes,yes,yes,yes,3,little,none,Sufficient,Poor,Sufficient,10,9,11,16,0,1,2,1.5
F,18,U,2,3,0,no,yes,yes,yes,3,none,none,Sufficient,Poor,Sufficient,10,9,12,18,0,1,1,1
M,15,U,1,2,0,yes,no,yes,no,3,little,none,Sufficient,Poor,Sufficient,10,9,11,15,0,1,3,2
F,19-22,U,1,4,1,no,no,no,yes,4,none,none,Poor,Poor,Sufficient,9,9,10,19,0,1,1,1
M,18,R,1,4,1,no,yes,no,no,3,lots,none,Poor,Poor,Sufficient,8,9,10,18,0,3,4,3.5
F,16,R,2,4,0,no,yes,no,no,5,little,none,Poor,Poor,Poor,8,9,9,16,0,1,3,2
M,17,R,1,4,1,yes,no,yes,no,5,little,none,Sufficient,Poor,Poor,10,9,9,17,0,1,2,1.5
M,16,U,3,1,0,no,no,yes,no,3,little,none,Sufficient,Poor,Sufficient,10,9,10,16,0,2,2,2
F,17,R,2,1,0,no,no,yes,no,3,none,none,Sufficient,Poor,Sufficient,11,9,11,17,0,1,1,1
M,17,R,1,5,0,yes,yes,yes,yes,5,little,none,Sufficient,Poor,Sufficient,10,9,10,17,0,1,3,2
F,17,U,2,5,0,no,no,yes,no,4,none,none,Poor,Poor,Sufficient,6,9,11,17,0,1,1,1
M,15,R,2,4,0,no,yes,yes,no,4,none,none,Poor,Poor,Poor,7,8,8,15,0,1,1,1
M,16,U,1,4,2,no,no,yes,no,5,lots,none,Poor,Poor,Sufficient,9,8,10,16,0,3,5,4
M,17,R,2,3,0,no,yes,no,yes,5,lots,none,Poor,Poor,Poor,8,8,8,17,0,1,5,3
F,19-22,R,2,3,1,yes,no,no,no,3,lots,none,Poor,Poor,Sufficient,9,8,10,19,0,4,3,3.5
F,15,R,1,3,0,no,no,no,no,4,none,none,Poor,Poor,Poor,6,8,9,15,0,1,1,1
F,16,U,3,3,1,yes,no,yes,no,2,little,none,Sufficient,Poor,Poor,10,8,8,16,0,1,2,1.5
F,19-22,U,1,4,0,yes,no,no,no,4,none,none,Poor,Poor,Poor,6,8,7,19,0,1,1,1
F,17,U,2,5,0,yes,yes,yes,no,5,little,none,Poor,Poor,Poor,8,8,0,17,0,1,3,2
F,17,R,1,2,1,yes,no,yes,yes,1,little,none,Poor,Poor,Poor,8,8,9,17,0,1,2,1.5
M,19-22,R,1,3,1,no,no,yes,no,2,little,none,Poor,Poor,Poor,5,8,0,19,0,1,3,2
F,17,R,3,3,0,yes,yes,yes,no,4,none,none,Poor,Poor,Poor,7,7,8,17,0,1,1,1
